OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding,ENERGYSTARScore,SiteEnergyUse,SteamUse,Electricity,NaturalGas,OtherFuelUse,GHGEmissions,BuildingAge,HasUsedSteam,IsSteamUser,IsElectricityUser,IsNaturalGasUser,IsOtherFuelUser,NumberOfUsedEnergies,MostUsedEnergy,GatheredPrimaryPropertyType
3,NonResidential,Hotel,DOWNTOWN,1969,1.0,41.0,961990.0,18.0,73130656.0,19660404.0,49762435.0,3709900.0,0.0,2061.48,46,1.0,1.0,1.0,1.0,0.0,3.0,Electricity,Hotel
5,NonResidential,Hotel,DOWNTOWN,1926,1.0,10.0,61320.0,1.0,28229320.0,23458518.0,2769023.0,2001894.0,0.0,1936.34,89,1.0,1.0,1.0,1.0,0.0,3.0,Steam,Hotel
8,NonResidential,Hotel,DOWNTOWN,1980,1.0,18.0,107430.0,67.0,14829099.0,0.0,6066245.0,8763105.0,0.0,507.7,35,0.0,0.0,1.0,1.0,0.0,2.0,NaturalGas,Hotel
19,NonResidential,Hotel,DOWNTOWN,1922,1.0,11.0,67390.0,14.0,10711451.0,4403788.0,4089407.0,2218425.0,0.0,486.25,93,1.0,1.0,1.0,1.0,0.0,3.0,Steam,Hotel
25,NonResidential,Hotel,DOWNTOWN,1916,1.0,10.0,104352.0,83.0,7845112.0,3205497.0,1790665.0,2849024.0,0.0,411.22,99,1.0,1.0,1.0,1.0,0.0,3.0,Steam,Hotel
26,NonResidential,Other,DOWNTOWN,1916,1.0,10.0,540360.0,67.0,53332648.0,0.0,26798906.0,26534856.0,0.0,1596.08,99,0.0,0.0,1.0,1.0,0.0,2.0,Electricity,Other
30,NonResidential,University,DOWNTOWN,1928,1.0,7.0,126593.0,,9791557.0,0.0,4582663.0,5209084.0,0.0,308.6,87,0.0,0.0,1.0,1.0,0.0,2.0,NaturalGas,Education
34,SPS-District K-12,K-12 School,CENTRAL,1955,1.0,1.0,126351.0,57.0,6283226.0,0.0,1933106.0,4350200.0,0.0,244.51,60,0.0,0.0,1.0,1.0,0.0,2.0,NaturalGas,Education
37,SPS-District K-12,K-12 School,MAGNOLIA / QUEEN ANNE,1989,1.0,2.0,51582.0,94.0,1472548.0,0.0,1472609.0,0.0,0.0,10.27,26,0.0,0.0,1.0,0.0,0.0,1.0,Electricity,Education
41,NonResidential,Self-Storage Facility,NORTHEAST,1955,1.0,2.0,126394.0,77.0,306721.0,0.0,272732.0,34000.0,0.0,3.71,60,0.0,0.0,1.0,1.0,0.0,2.0,Electricity,Self-Storage Facility
46,NonResidential,Distribution Center,GREATER DUWAMISH,1961,7.0,2.0,714095.0,1.0,47843892.0,0.0,47845869.0,0.0,0.0,333.54,54,0.0,0.0,1.0,0.0,0.0,1.0,Electricity,Distribution Center
53,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1900,1.0,2.0,52554.0,93.0,2137686.0,0.0,1226016.0,911721.0,0.0,56.97,115,0.0,0.0,1.0,1.0,0.0,2.0,Electricity,Office
59,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1910,1.0,8.0,59400.0,,3915947.0,0.0,3916108.0,0.0,0.0,27.3,105,0.0,0.0,1.0,0.0,0.0,1.0,Electricity,Office
62,NonResidential,Hotel,DOWNTOWN,1930,1.0,20.0,88591.0,46.0,6175812.0,0.0,5422999.0,753040.0,0.0,77.8,85,0.0,0.0,1.0,1.0,0.0,2.0,Electricity,Hotel
87,SPS-District K-12,K-12 School,SOUTHWEST,1948,1.0,2.0,53352.0,,2414401.75,0.0,1550824.0,496445.5,0.0,48.855000000000004,67,0.0,0.0,1.0,1.0,0.0,2.0,Electricity,Education
89,NonResidential,Medical Office,EAST,1965,1.0,3.0,179014.0,48.0,18868768.0,0.0,9501003.0,9368159.0,0.0,563.78,50,0.0,0.0,1.0,1.0,0.0,2.0,Electricity,Medical and Care
96,NonResidential,Mixed Use Property,EAST,1983,1.0,6.0,169107.0,,15240688.0,4816083.0,10425038.0,0.0,0.0,444.42,32,1.0,1.0,1.0,0.0,0.0,2.0,Electricity,Mixed Use Property
103,Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1962,1.0,1.0,129000.0,,29337400.0,8560000.0,14312992.0,0.0,6464408.0,760.51,53,1.0,1.0,1.0,0.0,1.0,3.0,Electricity,Other
104,Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1962,1.0,1.0,91213.0,,5069854.0,1270000.0,3622005.0,0.0,177849.0,123.28,53,1.0,1.0,1.0,0.0,1.0,3.0,Electricity,Other
106,Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1938,1.0,5.0,396085.0,,27185096.0,10951000.0,7964427.0,0.0,8269669.0,900.81,77,1.0,1.0,1.0,0.0,1.0,3.0,Steam,Other
110,Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1962,1.0,2.0,49680.0,,2632472.0,1145000.0,1149520.0,0.0,337952.0,96.39,53,1.0,1.0,1.0,0.0,1.0,3.0,Electricity,Other
112,Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1928,1.0,2.0,262048.0,,20828130.0,3900000.0,13983710.0,0.0,2944419.0,398.51,87,1.0,1.0,1.0,0.0,1.0,3.0,Electricity,Other
113,NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1986,1.0,2.0,63888.0,,4329966.0,0.0,4330148.0,0.0,0.0,30.19,29,0.0,0.0,1.0,0.0,0.0,1.0,Electricity,Office
116,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,2002,1.0,6.0,80804.0,52.0,5061274.0,0.0,2820414.0,2240976.0,0.0,138.68,13,0.0,0.0,1.0,1.0,0.0,2.0,Electricity,Hotel
117,NonResidential,Hotel,NORTHEAST,1962,1.0,4.0,50017.0,51.0,5570472.0,0.0,2156751.0,3413811.0,0.0,196.34,53,0.0,0.0,1.0,1.0,0.0,2.0,NaturalGas,Hotel
118,SPS-District K-12,K-12 School,DELRIDGE,1999,1.0,3.0,74468.0,85.0,1857329.0,0.0,1591795.0,265600.0,0.0,25.2,16,0.0,0.0,1.0,1.0,0.0,2.0,Electricity,Education
119,NonResidential,K-12 School,EAST,1923,1.0,3.0,67743.0,43.0,2303288.0,0.0,1265357.0,1037984.0,0.0,63.95,92,0.0,0.0,1.0,1.0,0.0,2.0,Electricity,Education
122,SPS-District K-12,K-12 School,SOUTHEAST,1991,1.0,2.0,58933.0,71.0,2150120.0,0.0,2150209.0,0.0,0.0,14.99,24,0.0,0.0,1.0,0.0,0.0,1.0,Electricity,Education
127,SPS-District K-12,K-12 School,SOUTHEAST,1989,1.0,3.0,59955.0,94.0,1521329.0,0.0,1424088.0,97300.0,0.0,15.1,26,0.0,0.0,1.0,1.0,0.0,2.0,Electricity,Education
140,SPS-District K-12,K-12 School,LAKE UNION,1991,1.0,3.0,66588.0,75.0,2033074.0,0.0,2033159.0,0.0,0.0,14.17,24,0.0,0.0,1.0,0.0,0.0,1.0,Electricity,Education
145,Nonresidential COS,Other,DOWNTOWN,1998,1.0,6.0,284100.0,,14169301.0,3123280.0,10609812.0,436649.0,0.0,338.23,17,1.0,1.0,1.0,1.0,0.0,3.0,Electricity,Other
147,NonResidential,Hospital,BALLARD,1954,1.0,5.0,285333.0,28.0,63362516.0,0.0,32311985.0,31051872.0,0.0,1874.42,61,0.0,0.0,1.0,1.0,0.0,2.0,Electricity,Medical and Care
163,Nonresidential COS,Other,DOWNTOWN,2006,1.0,4.0,61156.0,,10434387.0,0.0,7222692.0,3211996.0,0.0,220.94,9,0.0,0.0,1.0,1.0,0.0,2.0,Electricity,Other
167,NonResidential,Other,DOWNTOWN,1910,1.0,4.0,72820.0,,2076630.0,0.0,1458801.0,617890.0,0.0,42.99,105,0.0,0.0,1.0,1.0,0.0,2.0,Electricity,Other
170,NonResidential,University,EAST,1915,1.0,3.0,63330.0,,2755578.0,0.0,1863973.0,891682.0,0.0,60.35,100,0.0,0.0,1.0,1.0,0.0,2.0,Electricity,Education
172,Campus,University,DELRIDGE,1970,1.0,2.0,441071.0,,37430780.0,0.0,24886028.0,12545788.0,0.0,839.79,45,0.0,0.0,1.0,1.0,0.0,2.0,Electricity,Education
187,NonResidential,Other,CENTRAL,1971,1.0,6.0,250981.0,,13901935.0,3994742.0,9449227.0,458359.0,0.0,398.56,44,1.0,1.0,1.0,1.0,0.0,3.0,Electricity,Other
198,NonResidential,Hospital,NORTHEAST,1953,1.0,10.0,879000.0,13.0,251191824.0,0.0,114748139.0,136448438.0,0.0,8046.7,62,0.0,0.0,1.0,1.0,0.0,2.0,NaturalGas,Medical and Care
209,NonResidential,Self-Storage Facility,EAST,1910,1.0,5.0,84870.0,,1136698.0,0.0,433875.0,702841.0,0.0,40.35,105,0.0,0.0,1.0,1.0,0.0,2.0,NaturalGas,Self-Storage Facility
215,NonResidential,Non-Refrigerated Warehouse,GREATER DUWAMISH,1904,1.0,4.0,114297.0,67.0,1738724.0,0.0,854011.0,884748.0,0.0,52.94,111,0.0,0.0,1.0,1.0,0.0,2.0,NaturalGas,Warehouse
217,SPS-District K-12,K-12 School,BALLARD,1959,1.0,1.0,160270.0,79.0,5674450.0,0.0,1936530.0,3738000.0,0.0,212.02,56,0.0,0.0,1.0,1.0,0.0,2.0,NaturalGas,Education
220,NonResidential,Non-Refrigerated Warehouse,GREATER DUWAMISH,1937,1.0,1.0,234144.0,82.0,7370743.0,0.0,1541206.0,5829600.0,0.0,320.35,78,0.0,0.0,1.0,1.0,0.0,2.0,NaturalGas,Warehouse
227,SPS-District K-12,K-12 School,CENTRAL,1963,1.0,3.0,136188.0,67.0,5436057.0,0.0,2388755.0,3047400.0,0.0,178.5,52,0.0,0.0,1.0,1.0,0.0,2.0,NaturalGas,Education
230,NonResidential,Self-Storage Facility,SOUTHWEST,1969,1.0,2.0,52088.0,,1186800.0,0.0,509226.0,677596.0,0.0,39.54,46,0.0,0.0,1.0,1.0,0.0,2.0,NaturalGas,Self-Storage Facility
231,SPS-District K-12,K-12 School,LAKE UNION,2010,1.0,3.0,127776.0,81.0,4213726.0,0.0,3615976.0,597900.0,0.0,56.96,5,0.0,0.0,1.0,1.0,0.0,2.0,Electricity,Education
233,Nonresidential COS,Other,LAKE UNION,1900,1.0,1.0,58000.0,,7338511.0,0.0,3644232.0,3694428.0,0.0,221.62,115,0.0,0.0,1.0,1.0,0.0,2.0,NaturalGas,Other
234,Nonresidential COS,Non-Refrigerated Warehouse,MAGNOLIA / QUEEN ANNE,1926,1.0,2.0,50292.0,,715446.0,0.0,715475.0,0.0,0.0,4.99,89,0.0,0.0,1.0,0.0,0.0,1.0,Electricity,Warehouse
238,Nonresidential COS,Small- and Mid-Sized Office,NORTHWEST,1957,1.0,2.0,85017.0,40.0,9146727.0,0.0,6915309.0,2231705.0,0.0,166.73,58,0.0,0.0,1.0,1.0,0.0,2.0,Electricity,Office
242,SPS-District K-12,K-12 School,NORTH,1989,1.0,2.0,52792.0,98.0,1227290.0,0.0,1227341.0,0.0,0.0,8.56,26,0.0,0.0,1.0,0.0,0.0,1.0,Electricity,Education
243,SPS-District K-12,K-12 School,GREATER DUWAMISH,1925,1.0,1.0,70762.0,95.0,2933003.0,0.0,364295.0,2568723.0,0.0,138.96,90,0.0,0.0,1.0,1.0,0.0,2.0,NaturalGas,Education
244,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,3.0,56456.0,83.0,1527917.0,0.0,1183443.0,344523.0,0.0,26.55,115,0.0,0.0,1.0,1.0,0.0,2.0,Electricity,Office
248,Nonresidential COS,Non-Refrigerated Warehouse,GREATER DUWAMISH,1965,1.0,2.0,50000.0,,4116805.0,0.0,4116974.0,0.0,0.0,28.7,50,0.0,0.0,1.0,0.0,0.0,1.0,Electricity,Warehouse
